PWM, Thrust
1100, -5.04
1104, -4.96
1108, -4.92
1112, -4.84
1116, -4.79
1120, -4.74
1124, -4.68
1128, -4.58
1132, -4.46
1136, -4.40
1140, -4.35
1144, -4.23
1148, -4.16
1152, -4.12
1156, -4.02
1160, -3.96
1164, -3.89
1168, -3.81
1172, -3.71
1176, -3.66
1180, -3.56
1184, -3.48
1188, -3.36
1192, -3.29
1196, -3.16
1200, -3.13
1204, -3.00
1208, -2.94
1212, -2.87
1216, -2.78
1220, -2.74
1224, -2.67
1228, -2.60
1232, -2.54
1236, -2.50
1240, -2.44
1244, -2.40
1248, -2.31
1252, -2.26
1256, -2.20
1260, -2.14
1264, -2.11
1268, -2.04
1272, -1.97
1276, -1.91
1280, -1.86
1284, -1.80
1288, -1.73
1292, -1.67
1296, -1.64
1300, -1.58
1304, -1.52
1308, -1.47
1312, -1.41
1316, -1.37
1320, -1.32
1324, -1.27
1328, -1.22
1332, -1.17
1336, -1.11
1340, -1.07
1344, -1.02
1348, -0.99
1352, -0.94
1356, -0.91
1360, -0.88
1364, -0.83
1368, -0.78
1372, -0.75
1376, -0.72
1380, -0.69
1384, -0.66
1388, -0.63
1392, -0.59
1396, -0.56
1400, -0.53
1404, -0.50
1408, -0.47
1412, -0.44
1416, -0.41
1420, -0.39
1424, -0.36
1428, -0.32
1432, -0.29
1436, -0.26
1440, -0.24
1444, -0.20
1448, -0.17
1452, -0.15
1456, -0.12
1460, -0.09
1464, -0.07
1468, -0.05
1472, -0.04
1476, 0.00
1480, 0.00
1484, 0.00
1488, 0.00
1492, 0.00
1496, 0.00
1500, 0.00
1504, 0.00
1508, 0.00
1512, 0.00
1516, 0.00
1520, 0.00
1524, 0.00
1528, 0.00
1532, 0.06
1536, 0.09
1540, 0.11
1544, 0.15
1548, 0.18
1552, 0.21
1556, 0.25
1560, 0.29
1564, 0.32
1568, 0.36
1572, 0.39
1576, 0.43
1580, 0.47
1584, 0.50
1588, 0.54
1592, 0.57
1596, 0.61
1600, 0.64
1604, 0.66
1608, 0.70
1612, 0.74
1616, 0.78
1620, 0.82
1624, 0.86
1628, 0.89
1632, 0.93
1636, 0.98
1640, 1.02
1644, 1.06
1648, 1.12
1652, 1.17
1656, 1.22
1660, 1.28
1664, 1.31
1668, 1.38
1672, 1.44
1676, 1.53
1680, 1.58
1684, 1.64
1688, 1.74
1692, 1.80
1696, 1.85
1700, 1.92
1704, 1.98
1708, 2.07
1712, 2.12
1716, 2.20
1720, 2.25
1724, 2.33
1728, 2.44
1732, 2.52
1736, 2.61
1740, 2.66
1744, 2.76
1748, 2.83
1752, 2.91
1756, 2.99
1760, 3.06
1764, 3.13
1768, 3.22
1772, 3.28
1776, 3.36
1780, 3.44
1784, 3.55
1788, 3.64
1792, 3.72
1796, 3.85
1800, 3.96
1804, 4.10
1808, 4.21
1812, 4.33
1816, 4.42
1820, 4.55
1824, 4.70
1828, 4.82
1832, 4.93
1836, 5.02
1840, 5.14
1844, 5.20
1848, 5.39
1852, 5.52
1856, 5.62
1860, 5.71
1864, 5.82
1868, 5.93
1872, 6.06
1876, 6.13
1880, 6.26
1884, 6.36
1888, 6.46
1892, 6.55
1896, 6.62
1900, 6.72
