PWM, Thrust
1100, -2.31
1104, -2.30
1108, -2.30
1112, -2.28
1116, -2.22
1120, -2.18
1124, -2.16
1128, -2.13
1132, -2.11
1136, -2.05
1140, -2.04
1144, -1.99
1148, -1.95
1152, -1.93
1156, -1.89
1160, -1.84
1164, -1.81
1168, -1.79
1172, -1.76
1176, -1.71
1180, -1.68
1184, -1.65
1188, -1.62
1192, -1.59
1196, -1.56
1200, -1.54
1204, -1.50
1208, -1.47
1212, -1.44
1216, -1.41
1220, -1.36
1224, -1.33
1228, -1.32
1232, -1.29
1236, -1.26
1240, -1.22
1244, -1.19
1248, -1.17
1252, -1.14
1256, -1.10
1260, -1.08
1264, -1.06
1268, -1.02
1272, -0.99
1276, -0.97
1280, -0.93
1284, -0.91
1288, -0.88
1292, -0.85
1296, -0.83
1300, -0.80
1304, -0.78
1308, -0.75
1312, -0.72
1316, -0.70
1320, -0.67
1324, -0.65
1328, -0.63
1332, -0.61
1336, -0.58
1340, -0.55
1344, -0.53
1348, -0.51
1352, -0.49
1356, -0.47
1360, -0.44
1364, -0.42
1368, -0.40
1372, -0.38
1376, -0.35
1380, -0.34
1384, -0.31
1388, -0.29
1392, -0.28
1396, -0.25
1400, -0.24
1404, -0.21
1408, -0.20
1412, -0.18
1416, -0.16
1420, -0.15
1424, -0.14
1428, -0.12
1432, -0.10
1436, -0.09
1440, -0.07
1444, -0.06
1448, -0.05
1452, -0.05
1456, -0.03
1460, 0.00
1464, 0.00
1468, 0.00
1472, 0.00
1476, 0.00
1480, 0.00
1484, 0.00
1488, 0.00
1492, 0.00
1496, 0.00
1500, 0.00
1504, 0.00
1508, 0.00
1512, 0.00
1516, 0.00
1520, 0.00
1524, 0.00
1528, 0.00
1532, 0.00
1536, 0.00
1540, 0.00
1544, 0.04
1548, 0.05
1552, 0.07
1556, 0.08
1560, 0.09
1564, 0.11
1568, 0.13
1572, 0.15
1576, 0.16
1580, 0.18
1584, 0.20
1588, 0.22
1592, 0.24
1596, 0.26
1600, 0.29
1604, 0.31
1608, 0.34
1612, 0.36
1616, 0.39
1620, 0.41
1624, 0.44
1628, 0.47
1632, 0.49
1636, 0.52
1640, 0.55
1644, 0.58
1648, 0.61
1652, 0.64
1656, 0.68
1660, 0.70
1664, 0.73
1668, 0.76
1672, 0.80
1676, 0.83
1680, 0.85
1684, 0.89
1688, 0.92
1692, 0.95
1696, 0.98
1700, 0.97
1704, 1.05
1708, 1.08
1712, 1.11
1716, 1.17
1720, 1.18
1724, 1.21
1728, 1.24
1732, 1.27
1736, 1.31
1740, 1.36
1744, 1.41
1748, 1.43
1752, 1.48
1756, 1.52
1760, 1.55
1764, 1.58
1768, 1.62
1772, 1.66
1776, 1.69
1780, 1.73
1784, 1.77
1788, 1.80
1792, 1.85
1796, 1.88
1800, 1.91
1804, 1.99
1808, 2.00
1812, 2.06
1816, 2.09
1820, 2.12
1824, 2.17
1828, 2.21
1832, 2.27
1836, 2.30
1840, 2.36
1844, 2.41
1848, 2.45
1852, 2.48
1856, 2.55
1860, 2.58
1864, 2.62
1868, 2.65
1872, 2.69
1876, 2.74
1880, 2.77
1884, 2.82
1888, 2.88
1892, 2.89
1896, 2.92
1900, 2.93
